Series Name,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population, male (% of total population)",51.6700798587265,51.6614770750338,51.6528190585589,51.6440179744616,51.6302817271742,51.6137810866277,51.6009175245562,51.5888289456611,51.5752269426235,51.5604361268089
"Population, total",1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791,1463865525
"Population ages 00-04, female",58867603,58261386,57658903,57282565,56846872,56195125,55628417,55160392,54737622,54529094
"Population ages 00-04, female (% of female population)",9.06314670838152,8.86457548042162,8.6756139622628,8.5282619089281,8.37902914880103,8.21230227384487,8.06335436192689,7.92322241396719,7.79058621860517,7.69000947609511
"Population ages 00-04, male",64352535,63599613,62849630,62332993,61733760,60890054,60141124,59504265,58920509,58571645
"Population ages 00-04, male (% of male population)",9.26713006261536,9.05436851260208,8.85143517646296,8.68932886164182,8.52469639305705,8.34197065828363,8.17655362915128,8.02070458890956,7.8736689076019,7.7601418511428
"Population ages 05-09, female",60597732,60418672,60182984,59639765,58963120,58444800,57857938,57274750,56915848,56480996
"Population ages 05-09, female (% of female population)",9.32951399626133,9.19281053436046,9.05539844590602,8.87920322582364,8.69095659291049,8.5410675717557,8.38652397232009,8.2269283189547,8.10060431842899,7.9652779599508
"Population ages 05-09, male",66629542,66403706,66090809,65426370,64602110,63938170,63200371,62466007,61965433,61368389
"Population ages 05-09, male (% of male population)",9.59503191432828,9.45357356183439,9.30790708358105,9.12055098667878,8.92078133748657,8.75956414334217,8.59247696906625,8.41992400033437,8.28056843662065,8.13068165920166
"Population ages 10-14, female",62366261,61861743,61358955,60964654,60665244,60435770,60256564,60020822,59483836,58806952
"Population ages 10-14, female (% of female population)",9.60179343065392,9.41237640450455,9.23234025187163,9.07645347629048,8.94184376222366,8.83202611245309,8.73420554397812,8.6213732934935,8.46609582293089,8.29329778146077
"Population ages 10-14, male",68666974,68090535,67522186,67062761,66713773,66447883,66223234,65911757,65253770,64429093
"Population ages 10-14, male (% of male population)",9.88843367911865,9.69371922535708,9.50949523659602,9.34866677032535,9.21237682688252,9.10339619241208,9.00345368165774,8.88438386446739,8.71999554545551,8.53619359047276
