State,Year,GMFR_Total,GMFR_Rural,GMFR_Urban,TMFR_Total,TMFR_Rural,TMFR_Urban
Punjab,2011,88.2,92.4,81.4,4.2,4.2,3.9
Punjab,2012,86.5,90.3,80.2,4.3,4.4,3.9
Punjab,2013,86.4,89.9,80.7,4.3,3.9,5.2
Rajasthan,2006,152.6,162.5,123.4,4.6,4.8,4.1
Rajasthan,2007,150.1,159.9,121.2,4.6,4.8,3.8
Rajasthan,2008,145.6,155.0,118.0,4.5,4.7,4.1
Rajasthan,2009,142.6,150.6,117.8,4.4,4.6,3.9
Rajasthan,2010,139.2,146.4,117.0,4.4,4.5,4.2
Rajasthan,2011,136.3,143.8,113.0,4.3,4.4,3.8
Rajasthan,2012,135.3,142.9,111.9,4.3,4.4,4.1
Rajasthan,2013,133.2,140.2,111.3,4.2,4.3,4.1
Tamil Nadu,2006,83.5,87.5,78.5,3.8,3.7,3.9
Tamil Nadu,2007,81.3,85.2,76.4,4.0,4.0,3.9
Tamil Nadu,2008,81.6,85.4,77.0,3.9,4.0,3.9
Tamil Nadu,2009,83.1,86.9,78.4,3.8,3.9,3.8
Tamil Nadu,2010,80.5,83.4,76.9,4.0,4.0,3.8
Tamil Nadu,2011,79.9,82.9,76.2,4.2,4.0,4.4
Tamil Nadu,2012,78.4,80.9,75.3,4.0,3.9,4.2
Tamil Nadu,2013,77.9,80.0,75.2,4.2,4.0,4.6
Uttar Pradesh,2006,180.1,185.6,156.5,5.7,5.8,5.7
Uttar Pradesh,2007,175.2,180.4,153.3,5.6,5.7,5.7
Uttar Pradesh,2008,171.9,176.8,150.9,5.6,5.6,5.6
Uttar Pradesh,2009,170.7,175.2,150.7,5.7,5.7,5.4
Uttar Pradesh,2010,166.5,171.3,145.1,5.7,5.8,5.8
Uttar Pradesh,2011,163.0,167.9,141.4,5.6,5.7,5.5
Uttar Pradesh,2012,163.2,168.4,140.8,5.9,6.0,5.7
Uttar Pradesh,2013,160.5,165.4,139.2,6.0,6.0,6.4
West Bengal,2006,93.5,104.3,63.9,3.5,3.7,2.9
West Bengal,2007,89.2,97.9,65.1,3.5,3.6,3.2
West Bengal,2008,85.9,94.4,62.5,3.4,3.5,3.0
West Bengal,2009,84.6,92.8,61.5,3.4,3.5,3.0
West Bengal,2010,84.4,89.1,59.7,3.5,3.5,3.2
West Bengal,2011,78.1,86.1,56.0,3.4,3.4,3.0
West Bengal,2012,77.1,84.1,57.1,3.4,3.5,2.9
West Bengal,2013,76.4,83.6,56.2,3.5,3.6,3.0
