State,District,District_Name,Total_Pop,Male_Pop,Female_Pop,Literate_Pop,M_LIT_Total,F_LIT_Total,P_ILL_Total,M_ILL_Total,F_ILL_Total,Rural_Pop,TOT_M_Rural,TOT_F_Rural,P_LIT_Rural,M_LIT_Rural,F_LIT_Rural,P_ILL_Rural,M_ILL_Rural,F_ILL_Rural,Urban_Pop,TOT_M_Urban,TOT_F_Urban,P_LIT_Urban,M_LIT_Urban,F_LIT_Urban,P_ILL_Urban,M_ILL_Urban,F_ILL_Urban,State_Code,Literacy_Rate,Literacy_Rate_Rural,Literacy_Rate_Urban,Literacy_Gap,Urban_Pct,Rural_Pct,Sex_Ratio,District_str,pc11_d_id
JAMMU & KASHMIR,16,Doda,409936.0,213641.0,196295.0,219083.0,138620.0,80463.0,190853.0,75021.0,115832.0,377247.0,195430.0,181817.0,194550.0,123819.0,70731.0,182697.0,71611.0,111086.0,32689.0,18211.0,14478.0,24533.0,14801.0,9732.0,8156.0,3410.0,4746.0,1,53.44,51.57,75.05,23.48,7.97,92.03,918.8,16,016
JAMMU & KASHMIR,17,Ramban,283713.0,149132.0,134581.0,124065.0,82938.0,41127.0,159648.0,66194.0,93454.0,271902.0,142317.0,129585.0,115194.0,77352.0,37842.0,156708.0,64965.0,91743.0,11811.0,6815.0,4996.0,8871.0,5586.0,3285.0,2940.0,1229.0,1711.0,1,43.73,42.37,75.11,32.74,4.16,95.84,902.4,17,017
JAMMU & KASHMIR,18,Kishtwar,230696.0,120165.0,110531.0,107506.0,68700.0,38806.0,123190.0,51465.0,71725.0,215831.0,111986.0,103845.0,96112.0,61934.0,34178.0,119719.0,50052.0,69667.0,14865.0,8179.0,6686.0,11394.0,6766.0,4628.0,3471.0,1413.0,2058.0,1,46.6,44.53,76.65,32.12,6.44,93.56,919.8,18,018
JAMMU & KASHMIR,19,Udhampur,554985.0,296784.0,258201.0,322354.0,197543.0,124811.0,232631.0,99241.0,133390.0,446777.0,232974.0,213803.0,236882.0,144066.0,92816.0,209895.0,88908.0,120987.0,108208.0,63810.0,44398.0,85472.0,53477.0,31995.0,22736.0,10333.0,12403.0,1,58.08,53.02,78.99,25.97,19.5,80.5,870.0,19,019
JAMMU & KASHMIR,20,Reasi,314667.0,166461.0,148206.0,150542.0,93937.0,56605.0,164125.0,72524.0,91601.0,287671.0,151481.0,136190.0,131328.0,82502.0,48826.0,156343.0,68979.0,87364.0,26996.0,14980.0,12016.0,19214.0,11435.0,7779.0,7782.0,3545.0,4237.0,1,47.84,45.65,71.17,25.52,8.58,91.42,890.3,20,020
JAMMU & KASHMIR,21,Jammu,1529958.0,813821.0,716137.0,1137135.0,641916.0,495219.0,392823.0,171905.0,220918.0,764945.0,401603.0,363342.0,524881.0,298200.0,226681.0,240064.0,103403.0,136661.0,765013.0,412218.0,352795.0,612254.0,343716.0,268538.0,152759.0,68502.0,84257.0,1,74.32,68.62,80.03,11.41,50.0,50.0,880.0,21,021
JAMMU & KASHMIR,22,Samba,318898.0,169124.0,149774.0,228139.0,130312.0,97827.0,90759.0,38812.0,51947.0,265283.0,139365.0,125918.0,185746.0,105450.0,80296.0,79537.0,33915.0,45622.0,53615.0,29759.0,23856.0,42393.0,24862.0,17531.0,11222.0,4897.0,6325.0,1,71.54,70.02,79.07,9.05,16.81,83.19,885.6,22,022
HIMACHAL PRADESH,23,Chamba,519080.0,261320.0,257760.0,323842.0,186064.0,137778.0,195238.0,75256.0,119982.0,482972.0,241963.0,241009.0,293683.0,169271.0,124412.0,189289.0,72692.0,116597.0,36108.0,19357.0,16751.0,30159.0,16793.0,13366.0,5949.0,2564.0,3385.0,2,62.39,60.81,83.52,22.71,6.96,93.04,986.4,23,023
HIMACHAL PRADESH,24,Kangra,1510075.0,750591.0,759484.0,1152640.0,606443.0,546197.0,357435.0,144148.0,213287.0,1423794.0,705365.0,718429.0,1082442.0,568564.0,513878.0,341352.0,136801.0,204551.0,86281.0,45226.0,41055.0,70198.0,37879.0,32319.0,16083.0,7347.0,8736.0,2,76.33,76.03,81.36,5.33,5.71,94.29,1011.8,24,024
HIMACHAL PRADESH,25,Lahul & Spiti,31564.0,16588.0,14976.0,21845.0,12897.0,8948.0,9719.0,3691.0,6028.0,31564.0,16588.0,14976.0,21845.0,12897.0,8948.0,9719.0,3691.0,6028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,69.21,69.21,0.0,0.0,0.0,100.0,902.8,25,025
HIMACHAL PRADESH,26,Kullu,437903.0,225452.0,212451.0,307672.0,174550.0,133122.0,130231.0,50902.0,79329.0,396512.0,203269.0,193243.0,274741.0,156267.0,118474.0,121771.0,47002.0,74769.0,41391.0,22183.0,19208.0,32931.0,18283.0,14648.0,8460.0,3900.0,4560.0,2,70.26,69.29,79.56,10.27,9.45,90.55,942.3,26,026
HIMACHAL PRADESH,27,Mandi,999777.0,498065.0,501712.0,723747.0,393669.0,330078.0,276030.0,104396.0,171634.0,937140.0,466050.0,471090.0,671588.0,366395.0,305193.0,265552.0,99655.0,165897.0,62637.0,32015.0,30622.0,52159.0,27274.0,24885.0,10478.0,4741.0,5737.0,2,72.39,71.66,83.27,11.61,6.27,93.73,1007.3,27,027
