State,Year,TFR
Gujarat,1994,3.1
Gujarat,1995,3.2
Gujarat,1996,3.0
Gujarat,1997,3.0
Gujarat,1998,3.0
Gujarat,1999,3.0
Gujarat,2000,2.9
Gujarat,2001,2.9
Gujarat,2002,2.8
Gujarat,2003,2.8
Gujarat,2004,2.8
Gujarat,2005,2.8
Gujarat,2006,2.7
Gujarat,2007,2.6
Gujarat,2008,2.5
Gujarat,2009,2.5
Gujarat,2010,2.5
Haryana,1971,6.7
Haryana,1972,6.6
Haryana,1973,6.4
Haryana,1974,6.2
Haryana,1975,5.8
Haryana,1976,5.2
Haryana,1977,4.9
Haryana,1978,4.7
Haryana,1979,5.2
Haryana,1980,5.2
Haryana,1981,5.0
Haryana,1982,4.9
Haryana,1983,4.8
Haryana,1984,5.0
Haryana,1985,4.6
Haryana,1986,4.4
Haryana,1987,4.3
Haryana,1988,4.2
Haryana,1989,4.4
Haryana,1990,3.8
Haryana,1991,4.0
Haryana,1992,3.8
Haryana,1993,3.7
Haryana,1994,3.7
Haryana,1995,3.7
Haryana,1996,3.5
Haryana,1997,3.4
Haryana,1998,3.3
Haryana,1999,3.2
Haryana,2000,3.2
Haryana,2001,3.1
Haryana,2002,3.1
Haryana,2003,3.0
Haryana,2004,3.0
Haryana,2005,2.8
Haryana,2006,2.7
Haryana,2007,2.6
Haryana,2008,2.5
Haryana,2009,2.5
Haryana,2010,2.3
Himachal Pradesh,1971,
Himachal Pradesh,1972,
Himachal Pradesh,1973,
Himachal Pradesh,1974,
Himachal Pradesh,1975,
Himachal Pradesh,1976,
Himachal Pradesh,1977,
Himachal Pradesh,1978,
Himachal Pradesh,1979,
Himachal Pradesh,1980,
Himachal Pradesh,1981,
Himachal Pradesh,1982,
Himachal Pradesh,1983,
Himachal Pradesh,1984,
Himachal Pradesh,1985,
Himachal Pradesh,1986,
Himachal Pradesh,1987,
Himachal Pradesh,1988,
Himachal Pradesh,1989,
Himachal Pradesh,1990,
Himachal Pradesh,1991,
Himachal Pradesh,1992,
Himachal Pradesh,1993,
Himachal Pradesh,1994,
Himachal Pradesh,1995,
Himachal Pradesh,1996,
Himachal Pradesh,1997,
Himachal Pradesh,1998,
Himachal Pradesh,1999,
Himachal Pradesh,2000,
Himachal Pradesh,2001,
Himachal Pradesh,2002,
Himachal Pradesh,2003,
Himachal Pradesh,2004,2.1
Himachal Pradesh,2005,2.2
Himachal Pradesh,2006,2.0
Himachal Pradesh,2007,1.9
Himachal Pradesh,2008,1.9
Himachal Pradesh,2009,1.9
Himachal Pradesh,2010,1.8
Jammu and Kashmir,1971,
Jammu and Kashmir,1972,
Jammu and Kashmir,1973,
Jammu and Kashmir,1974,
Jammu and Kashmir,1975,
Jammu and Kashmir,1976,
Jammu and Kashmir,1977,
Jammu and Kashmir,1978,
Jammu and Kashmir,1979,
Jammu and Kashmir,1980,
Jammu and Kashmir,1981,
Jammu and Kashmir,1982,
Jammu and Kashmir,1983,
Jammu and Kashmir,1984,
Jammu and Kashmir,1985,
Jammu and Kashmir,1986,
Jammu and Kashmir,1987,
Jammu and Kashmir,1988,
Jammu and Kashmir,1989,
Jammu and Kashmir,1990,
Jammu and Kashmir,1991,
Jammu and Kashmir,1992,
Jammu and Kashmir,1993,
Jammu and Kashmir,1994,
Jammu and Kashmir,1995,
Jammu and Kashmir,1996,
Jammu and Kashmir,1997,
Jammu and Kashmir,1998,
Jammu and Kashmir,1999,
Jammu and Kashmir,2000,
Jammu and Kashmir,2001,
Jammu and Kashmir,2002,
Jammu and Kashmir,2003,
Jammu and Kashmir,2004,2.4
Jammu and Kashmir,2005,2.4
Jammu and Kashmir,2006,2.3
Jammu and Kashmir,2007,2.3
Jammu and Kashmir,2008,2.2
Jammu and Kashmir,2009,2.2
Jammu and Kashmir,2010,2.0
Jharkhand,1971,
Jharkhand,1972,
Jharkhand,1973,
Jharkhand,1974,
Jharkhand,1975,
Jharkhand,1976,
Jharkhand,1977,
Jharkhand,1978,
Jharkhand,1979,
Jharkhand,1980,
Jharkhand,1981,
Jharkhand,1982,
Jharkhand,1983,
Jharkhand,1984,
Jharkhand,1985,
Jharkhand,1986,
Jharkhand,1987,
Jharkhand,1988,
Jharkhand,1989,
Jharkhand,1990,
Jharkhand,1991,
Jharkhand,1992,
Jharkhand,1993,
Jharkhand,1994,
Jharkhand,1995,
Jharkhand,1996,
Jharkhand,1997,
Jharkhand,1998,
Jharkhand,1999,
Jharkhand,2000,
Jharkhand,2001,
Jharkhand,2002,
Jharkhand,2003,
Jharkhand,2004,3.5
Jharkhand,2005,3.5
Jharkhand,2006,3.4
Jharkhand,2007,3.2
Jharkhand,2008,3.2
Jharkhand,2009,3.2
Jharkhand,2010,3.0
Karnataka,1971,4.4
Karnataka,1972,4.3
Karnataka,1973,3.9
Karnataka,1974,3.7
Karnataka,1975,3.7
Karnataka,1976,3.8
Karnataka,1977,3.6
Karnataka,1978,3.8
Karnataka,1979,3.6
Karnataka,1980,3.5
Karnataka,1981,3.6
Karnataka,1982,3.6
Karnataka,1983,3.7
Karnataka,1984,3.8
Karnataka,1985,3.6
Karnataka,1986,3.5
Karnataka,1987,3.4
Karnataka,1988,3.4
Karnataka,1989,3.3
