States,Districts,Fertility (%) - Births to women aged 15-19 years out of total births3,Fertility (%) - Women aged 20-24 years reporting birth order of 2 & above,Fertility (%) - Women aged 15-49 years who reported birth order of 3 & above,Fertility (%) - Women with two children wanting no more children,Fertility (%) - Mean no. of children ever born to women age 40-49 years
Nagaland,Kiphire,0,27.3,44,68.3,2.5
Nagaland,Longleng,0,22.2,34.8,60.4,3.5
Nagaland,Paren,0,40,46.6,32.7,2.9
Pudducherry,Total,2.7,32.2,10.6,47.4,2.3
Pudducherry,Yanam,7,39.7,7.8,72.4,2.4
Pudducherry,Pondicherry,0.5,36.7,8,44.4,2.2
Pudducherry,Mahe,0,18.9,14.5,55.4,2.1
Pudducherry,Karaikal,3.7,18.4,10.8,32.9,2.4
Punjab,Total,2,30.3,19.5,81.9,2.8
Punjab,Gurdaspur,0.5,18.4,15.3,86.1,2.6
Punjab, Amritsar,0,32.7,17.5,90,2.5
Punjab,Kapurthala,0,21.1,17.7,77.4,2.4
Punjab, Jalandhar,0,27.7,17.8,82.9,2.5
Punjab,Hoshiarpur,1.1,20,17,86.1,2.7
Punjab,Shahid Bhagat Singh Nagar,1.4,17.1,16.2,88.5,2.8
Punjab,Rupnagar,0.3,31.9,16,82.8,2.8
Punjab,Fatehgarh Sahib,0.6,28.2,17,78.8,2.7
Punjab,Ludhiana,1.7,29.5,22.9,87.1,2.9
Punjab,Moga,1.8,35.6,24.7,83.3,3.1
Punjab,Firozpur,5.1,35.6,23.2,79.5,3.1
Punjab,Muktsar,1.6,31.8,24,86.2,3
Punjab,Faridkot,2.1,31.8,21.7,72.2,2.9
Punjab,Bhathinda,3,30,18.7,85.9,2.9
Punjab,Mansa,3.2,31.4,19.3,77.7,2.8
Punjab,Sangrur,1.1,25.6,17.6,82.7,2.8
Punjab,Patiala,2.2,25.9,16.3,82.1,2.7
Punjab,SAS Nagar,0.9,29.9,9.7,81.9,2.5
Punjab,Barnala,4.7,34.2,22.3,76.7,2.9
Punjab,Taran Taran,5,41.8,25.2,72.1,2.9
Sikkim,Total,6.8,28.9,18.2,88.6,3
Sikkim,North,4.1,27.9,21.2,84.7,3.2
Sikkim,West,10.5,37.9,20.7,91.2,3
Sikkim,South,6.8,33.7,18.1,94.2,2.9
Sikkim,East,3.2,11.4,13.8,88.8,2.6
Tamil Nadu,Total,4.2,33.6,12.6,39.5,2.3
Tamil Nadu,Thiruvallur ,8.3,34.3,8.6,42.8,2.4
Tamil Nadu,Chennai ,1.1,28.9,6.2,43.9,2
Tamil Nadu,Khancheepuram ,1.5,29.4,8.1,28.9,2.5
Tamil Nadu,Vellore ,6.3,42.4,20.2,42.4,2.7
Tamil Nadu,Dharmapuri ,6.4,45.9,20.7,45.5,2.6
Tamil Nadu,Tiruvannamalai ,10.7,44,17.5,24.5,2.4
Tamil Nadu,Viluppuram ,5.8,35.1,17,37.7,2.6
Tamil Nadu,Salem ,7.3,40.8,15.1,36.2,2.6
Tamil Nadu,Namakkal ,6.7,31,9.9,44.5,2.2
Tamil Nadu,Erode ,4.2,24.4,7,43.9,2.1
Tamil Nadu,Nilgiris ,2.7,26.5,8.3,47.5,2.1
Tamil Nadu,Coimbatore ,2.5,31,2.8,20.3,2
Tamil Nadu,Dindigul ,9.7,32.4,9.3,38.6,2.4
Tamil Nadu,Karur ,6.5,28.4,10.4,50.2,2.2
Tamil Nadu,Tiruchirappalli ,4.8,33.3,11.4,56.5,2.4
Tamil Nadu,Perambalur ,2.5,38.8,15.9,44.3,2.4
Tamil Nadu,Ariyalur ,0.6,32.1,18.4,34,2.7
Tamil Nadu,Cuddalore ,4.5,36.2,14.4,31.8,2.2
Tamil Nadu,Nagapattinam ,2.6,28.6,15.5,49,2.6
Tamil Nadu,Thiruvarur ,1.5,31.8,14.7,34.6,2.4
Tamil Nadu,Thanjavur ,4.3,32.8,14.7,63.3,2.4
Tamil Nadu,Pudukkottai,1.3,21.7,13.9,32.8,2.6
Tamil Nadu,Sivaganga,3.4,28.5,13.9,48.3,2.6
Tamil Nadu,Madurai,5.1,38.2,12.2,28.4,2.5
Tamil Nadu,Theni,4.2,23.2,6.5,43.6,2.2
Tamil Nadu,Virudhunagar,4.5,29.4,11.7,29.7,2.4
Tamil Nadu,Ramanathapuram ,3.9,31.2,11.5,33.3,2.6
Tamil Nadu,Thoothukkudi ,2.5,20.8,14.3,45.7,2.5
Tamil Nadu,Thirunelveli ,2.1,30.9,15.5,43.4,2.4
Tamil Nadu,Kanniyakumari ,0.6,24.4,4.6,35.3,2.3
Tamil Nadu,Krishnagiri ,2.8,44.9,13.6,36.3,2.6
Tamil Nadu,Tiruppur ,5.8,21.7,6.5,32.8,2
Telangana,Total,4.3,37.2,15.5,61.1,2.4
Telangana,Adilabad,2.4,35.2,16.7,41.1,2.7
Telangana,Nizamabad,3.4,34.9,14.7,69.7,2.5
Telangana,Karimnagar,3.4,22.9,8.6,72.5,2.4
Telangana,Medak,2.1,41.5,16,76,2.1
Telangana,Hyderabad,3.2,40.4,11.6,31.1,2.2
Telangana,Rangareddi,4.5,39.4,19.9,68,2.6
Telangana,Mahbubnagar,4.9,40.9,23.1,54.5,2.6
Telangana,Nalgonda,5.5,38.8,16.1,81.8,2.6
Telangana,Warangal,8.2,33.9,11.9,57.5,2.4
Telangana,Khammam,4.6,35.8,6.4,43.2,2.1
Tripura,Total,12.3,32.2,19,87.4,2.8
Tripura,West Tripura,86.3,34.6,12.2,96,2.3
Tripura,South Tripura,14.8,28.9,16.1,88.6,2.8
Tripura,Dhalai,14,36,22.1,81.6,3.1
Tripura,North Tripura,8.7,32.2,26.9,83.7,3.1
West Bengal,Total,11.2,34.7,19.8,82.6,2.9
West Bengal,Darjeeling,6.5,30.5,17.1,90.1,2.7
West Bengal,Jalpaiguri,3.9,28.5,20.6,81,2.8
