States     Districts  Fertility (Fertility (Fertility (Fertility (Fertility (
Karnataka  Shimoga    2.9        30.9       14.3       48.6       2.7        
Karnataka  Udupi      0.9        28.3       8.7        58.7       2.3        
Karnataka  Chickmanglu2.2        32.6       10.6       51.9       2.5        
Karnataka  Tumkur     10.7       33.3       13         49.5       2.6        
Karnataka  Kolar      10         36.3       16.8       50.5       2.9        
Karnataka  Banglore   2.9        34.7       11.2       44.9       2.7        
Karnataka  Banglore Ru1.8        37.6       9.7        52.9       2.8        
Karnataka  Mandya     7.8        40.4       9.2        54.7       2.6        
Karnataka  Hassan     3.5        29.7       8.8        54         2.7        
Karnataka  Dakshina KaNA         24.2       18.8       73.1       2.6        
Karnataka  Kodagu     1.9        33.8       12         84.5       2.4        
Karnataka  Mysore     7.9        33.3       13.5       56.9       2.5        
Karnataka  Chamaranjan8.6        45.2       14.8       75         2.9        
Karnataka  Ramanagara 4.1        35.8       14.9       46         3.1        
Karnataka  Chikkaballa6.9        38         16.8       55.3       2.9        
Karnataka  Yadgir     9.6        48.2       34.5       37.2       4.5        
Kerala     Total      1.6        20.4       10.8       59.3       2          
Kerala     Kasaragod  0.8        20.7       17         57.6       2.4        
Kerala     Kannur     1.6        27.8       11.8       53.9       2.2        
Kerala     Wayanad    3.8        19.1       10.7       32.7       2.3        
Kerala     Kozhikode  2.2        20.5       18.7       50.9       2.5        
Kerala     Malappuram 6.2        22.1       25.7       47.8       2.7        
Kerala     Palakkad   0          0          2.2        86.4       2.2        
Kerala     Thrissur   1.6        20.4       9.8        62.6       2.2        
Kerala     Ernakulam  0          12.8       9.2        45.5       2.2        
Kerala     Idukki     NA         NA         NA         54.5       2.1        
Kerala     Kottayam   0.6        15.2       8.5        67         2.2        
Kerala     Alappuzha  0          19.4       4.6        73.5       2.2        
Kerala     Pathanamthi0          33.3       13.6       60.1       2.2        
Kerala     Kollam     1.7        20.2       6          62         2.2        
Kerala     Thiruvanant0.8        26.6       4          84.5       2.1        
MaharashtraTotal      4.8        37.5       19.6       67.2       2.7        
MaharashtraNandurbar  4.7        38.4       24.3       51.7       3          
MaharashtraDhule      6.5        37.5       21.8       48.3       3          
MaharashtraJalgaon    3.6        41.9       24.7       64.6       3.1        
MaharashtraBuldana    5.9        35.2       20         72.6       2.9        
MaharashtraAkola      3.5        36.8       23.7       73.4       3          
MaharashtraWashim     7.1        43         18.2       70.6       3.1        
MaharashtraAmravati   1.1        33.9       18.2       72.8       2.7        
MaharashtraWardha     1.3        34.2       12         72.9       2.5        
MaharashtraNagpur     2.4        27.4       13         78.6       2.8        
MaharashtraBhandara   0          20.3       9.7        75.2       2.5        
MaharashtraGondiya    0          20.6       14.5       78.6       2.6        
MaharashtraGadchiroli 3.5        34.8       13.2       75.7       2.7        
MaharashtraChandrapur 0.4        30.9       11.9       74.8       2.8        
MaharashtraYavatmal   8.5        36         13.4       78.1       2.8        
MaharashtraNanded     3.6        40.9       26.4       56         3.3        
MaharashtraHingoli    6.5        40.8       24.2       63.8       3.1        
MaharashtraParbhani   7.5        45.6       28.5       59.9       3.1        
MaharashtraJalna      7.4        41.7       26.5       59.9       3.4        
MaharashtraAurangabad 10.6       40.4       21.7       70.8       3.2        
MaharashtraNashik     3          41.6       24.9       61         3.1        
MaharashtraThane      4          27.3       22.7       58         2.4        
MaharashtraMumbai (Sub1.1        37.1       24.1       72.2       2.4        
MaharashtraMumbai     1.2        27.8       10.4       76.3       2.1        
MaharashtraRaigarh    3.7        27.3       17.3       67.6       2.7        
MaharashtraPune       3          30.7       12.8       65.2       2.5        
MaharashtraAhmadnagar 7.1        40.3       14.4       56.6       2.8        
MaharashtraBid        7.5        34.2       26.5       58.6       2.4        
MaharashtraLatur      5.6        40         21.5       59.7       3          
MaharashtraOsmanabad  8.1        42.7       22.1       54.5       2.6        
MaharashtraSolapur    7.9        43.4       24.7       71.6       2.9        
MaharashtraSatara     3.7        25.2       12.9       74.8       2.4        
MaharashtraRatnagiri  2.3        27.1       16.9       78         2.3        
